""	"probe.id"	"gene.id"	"p.value"	"q.value"	"log.fc"	"test.stat"
"1769555_at"	"1769555_at"	"YGL083W"	5.38673388103194e-05	0.00028314683911456	-0.53415027421327	-7.89300744481295
"1769556_at"	"1769556_at"	"YDR140W"	0.871482934512984	0.913619100955285	0.0111646157089577	0.167150813624747
"1769557_at"	"1769557_at"	"YMR216C"	0.00862055814112939	0.022265530457637	-0.267177853187844	-3.47746304826885
"1769558_at"	"1769558_at"	"YJL042W"	3.85853191406988e-05	0.00021306739139442	0.553951974712213	8.27376320547025
"1769562_at"	"1769562_at"	"YDR472W"	2.98597428666452e-05	0.000171831105869773	-0.636741327808039	-8.57637875346118
"1769564_at"	"1769564_at"	"YDR207C"	0.504859534074897	0.615885799103647	0.0495964604904036	0.698832267319726
"1769566_at"	"1769566_at"	"YIL075C"	0.79159088491783	0.857164604675193	0.0181315260086665	0.273427285956729
"1769568_at"	"1769568_at"	"YGR010W"	0.00249127399221853	0.00758980824838699	0.363873876519637	4.37246925862812
"1769570_at"	"1769570_at"	"YDR245W"	1.09313942108865e-06	1.37308363145479e-05	-1.00149147421394	-13.4284076506076
"1769571_at"	"1769571_at"	"YDR473C"	0.00248140134758022	0.00756817022784167	0.339708065527124	4.37547456455352
"1769573_at"	"1769573_at"	"YOR187W"	0.00172493767483594	0.00555068283586784	-0.315498162381299	-4.65511383324437
"1769575_at"	"1769575_at"	"YDR486C"	0.000324100565171622	0.00132057083377908	0.428582218477576	6.07129339214782
"1769576_at"	"1769576_at"	"YMR003W"	0.934747397591526	0.957349537102174	-0.0090286518507668	-0.0845386361991249
"1769579_at"	"1769579_at"	"YGL121C"	1.66345224619691e-09	1.81782061464399e-07	5.68980090074879	31.2056875184854
"1769580_at"	"1769580_at"	"YJL186W"	0.703895214021733	0.787486373754043	-0.0258681625949491	-0.394263987362674
"1769585_at"	"1769585_at"	"YBR285W"	4.66479377881793e-07	7.67723891790999e-06	4.52565152759233	15.0263147842545
"1769586_at"	"1769586_at"	"YOL028C"	2.62128345627566e-05	0.000154007449517099	-0.99264954659068	-8.73361262377905
"1769587_at"	"1769587_at"	"YMR220W"	3.9651135287782e-05	0.000217633152398233	-0.658932006171864	-8.24212098575351
"1769591_at"	"1769591_at"	"YAR002W"	4.04704448234834e-07	6.97572588377014e-06	-1.01291457123059	-15.3095890996285
"1769597_at"	"1769597_at"	"YMR049C"	1.49022876027973e-06	1.72512922588314e-05	-0.972247162075183	-12.8872239008939
"1769598_at"	"1769598_at"	"YOR069W"	0.0135946467257576	0.0331390362299976	-0.282715099740906	-3.167611160415
"1769599_at"	"1769599_at"	"YDR479C"	4.87803254191384e-06	4.1235914237349e-05	0.817361111293947	10.995019232983
"1769600_at"	"1769600_at"	"YKR038C"	9.29898162945106e-05	0.000449642793126731	-0.536777718019093	-7.30019426610585
"1769601_at"	"1769601_at"	"YPR106W"	0.128541729067481	0.213253987437291	0.115004174768724	1.69890900876893
"1769602_at"	"1769602_at"	"YBL031W"	3.67810132387543e-06	3.35511613249672e-05	-1.10329309725148	-11.4212191511799
"1769603_at"	"1769603_at"	"YOR124C"	0.0034554477666128	0.0101127833940934	0.271657640425527	4.12824342073104
"1769604_at"	"1769604_at"	"YDL149W"	7.39830494449779e-06	5.68956202909725e-05	1.36300262895302	10.3921201691267
"1769606_at"	"1769606_at"	"YDR072C"	0.00100298067980377	0.00346634183077029	0.477817206066666	5.08948354236143
"1769607_at"	"1769607_at"	"YPL269W"	0.0106003194432763	0.0266422012134598	-0.269862166954883	-3.3358251467462
"1769608_at"	"1769608_at"	"YGL107C"	0.0028143124298745	0.00842135986683146	-0.326010701467153	-4.2806783091591
"1769609_at"	"1769609_at"	"YGR110W"	3.7883507232349e-09	3.16023638958099e-07	2.26591297165005	28.0715015261108
"1769610_at"	"1769610_at"	"YOR394C-A"	0.00126957407989203	0.00425841176950894	0.60009671362745	4.8979757081615
"1769614_at"	"1769614_at"	"YNL291C"	1.60503236099399e-05	0.00010516302470135	-0.860717329628496	-9.34757081393293
"1769617_at"	"1769617_at"	"YBR157C"	4.20631114037312e-08	1.67151156879991e-06	3.1544431199111	20.570260625401
"1769620_at"	"1769620_at"	"YKL192C"	0.166061830444413	0.261374576277768	-0.106680350589799	-1.52694813324603
"1769621_at"	"1769621_at"	"YKR035W-A"	0.00869563904636956	0.0224223557099402	-0.25046503563805	-3.47148548864377
"1769622_at"	"1769622_at"	"YJL047C-A"	1.52774775809586e-08	8.43193308104623e-07	-2.23412784825949	-23.4517261581201
"1769624_at"	"1769624_at"	"YLR283W"	0.272078625741092	0.386139639233592	0.0931257559774939	1.18130917336877
"1769626_at"	"1769626_at"	"YMR291W"	4.52778539486677e-06	3.93007456672789e-05	1.35629205026311	11.1060860362711
"1769627_at"	"1769627_at"	"YLR151C"	1.19570172137626e-08	7.16844798881575e-07	1.94011909083747	24.2058843713628
"1769628_at"	"1769628_at"	"YOR165W"	0.764206045946098	0.834957375534788	-0.0238964426548503	-0.310595801388689
"1769634_at"	"1769634_at"	"YHR079C"	0.00130581097624434	0.00436255039694226	0.371959120917113	4.8753911359328
"1769635_at"	"1769635_at"	"YMR184W"	0.0941976548999442	0.166730154315936	0.155288825341157	1.90364521899392
"1769637_at"	"1769637_at"	"YBL018C"	1.517487313237e-05	0.000100747881889756	-0.801480537914667	-9.42004685866056
"1769638_at"	"1769638_at"	"YNL095C"	9.15090288277694e-05	0.000443857375512589	-0.85858747757157	-7.31711112984381
"1769640_at"	"1769640_at"	"YPL101W"	0.00176011790799533	0.00564229055399616	-0.475783835927563	-4.63935192305471
"1769642_at"	"1769642_at"	"YGR124W"	1.21739852716059e-06	1.47983660787663e-05	-1.05023492791411	-13.2380475767968
"1769643_at"	"1769643_at"	"YBR169C"	1.54260946951789e-07	3.6004642374645e-06	4.08061566350904	17.3707408138828
"1769645_at"	"1769645_at"	"YMR069W"	4.28338280063628e-05	0.00023218654387576	-0.898606584815916	-8.15299529954172
"1769647_at"	"1769647_at"	"YDR068W"	0.540668960703184	0.647286415706003	-0.057307177597956	-0.639602712982475
"1769648_at"	"1769648_at"	"YBR260C"	0.0476088674389285	0.0953885526581199	-0.225941407428593	-2.34596951029313
"1769649_at"	"1769649_at"	"YML017W"	0.0627195679710177	0.119615957903539	0.18133852715932	2.16782274982196
"1769650_at"	"1769650_at"	"YDR466W"	4.03552836910672e-05	0.000220721992080071	0.663330008079973	8.22173179498431
"1769653_s_at"	"1769653_s_at"	"YCL068C"	0.120747086315624	0.2032040590923	0.192591588818587	1.74040228170981
"1769654_at"	"1769654_at"	"YFL049W"	0.133489731348822	0.219860705980395	0.155020006995151	1.6737691229215
"1769655_at"	"1769655_at"	"YKL167C"	0.00514480007817168	0.014360759962774	-0.255303931763623	-3.83957192579443
"1769657_at"	"1769657_at"	"YOR264W"	0.127169913814537	0.211446453097625	-0.15475511239502	-1.70603826219276
